"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2021-10-27",141.08,149.04,140.405,147.22,3504885,147.045265,147.007355,"2021-10-26",155.07,160.56,154.18,159.8,2100301,159.03088,159.084358,"2021-10-26"
"2021-10-26",143.46,145.25,143.02,144.45,2642324,144.337715,144.412009,"2021-10-25",156.65,157.61,155.17,156.04,1804264,156.130892,156.114081,"2021-10-25"
"2021-10-25",141.77,143.03,139.85,142.17,1412301,141.866196,141.873964,"2021-10-22",155.28,156.17,153.45,154.79,1434282,154.568427,154.640347,"2021-10-22"
"2021-10-22",140.57,142.76,140.47,141.66,1090962,141.785181,141.747052,"2021-10-21",155.31,155.96,154.125,154.75,996318,155.100669,155.055314,"2021-10-21"
"2021-10-21",140.09,141.625,139.76,141.5,1306761,140.928869,141.183942,"2021-10-20",153.55,155.78,152.84,155.65,1192894,154.479706,154.649458,"2021-10-20"
"2021-10-20",140.53,141.91,139.4855,140.24,1501412,140.378455,140.351869,"2021-10-19",154.75,155.19,152.6501,153.27,2402898,153.526416,153.490845,"2021-10-19"
"2021-10-19",144.98,144.98,140.79,140.95,3745301,142.317091,142.20368,"2021-10-18",158,158.9,154.49,155.02,2619787,155.831957,155.823149,"2021-10-18"
"2021-10-18",143.37,144.75,142.72,144.06,1074462,143.947489,143.94674,"2021-10-15",159,160.44,158.22,159.21,1541852,159.373893,159.302698,"2021-10-15"
"2021-10-15",143.21,145.45,143.12,144.52,1674683,144.618305,144.561549,"2021-10-14",157.11,161.42,157,160.04,2801381,160.092236,159.996237,"2021-10-14"
"2021-10-14",142.29,142.56,141.235,141.58,1218248,141.788269,141.758062,"2021-10-13",155.87,156.54,154.07,155.22,1978432,155.037258,155.044968,"2021-10-13"
"2021-10-13",145,145.25,140.71,140.83,2195119,141.891212,141.992806,"2021-10-12",158.23,158.45,154.16,154.62,1973149,155.465978,155.416558,"2021-10-12"
"2021-10-12",143.22,145.11,142.945,144.7,2336590,144.236161,144.290744,"2021-10-11",156.6,158.23,155.965,157.45,1995785,157.114426,157.192462,"2021-10-11"
"2021-10-11",141.43,143.8099,141.19,142.85,1494883,142.979557,142.913132,"2021-10-08",157.41,159.77,156.57,156.82,1677850,158.176569,158.018796,"2021-10-08"
"2021-10-08",141.37,142.5,140.89,141.51,1653893,141.730927,141.688683,"2021-10-07",157.99,158.74,156.426,157.09,1193933,157.321425,157.301059,"2021-10-07"
"2021-10-07",140.86,143.31,140.13,141.17,1503357,141.779198,141.63839,"2021-10-06",157.03,159.66,156.06,157.75,1861994,158.154358,158.062037,"2021-10-06"
"2021-10-06",137.95,139.63,135.7,139.36,1751595,137.854666,137.90149,"2021-10-05",153.51,155.46,151.82,155.31,1667256,153.647983,153.708454,"2021-10-05"
"2021-10-05",138.75,140.83,137.79,139.75,2028473,139.967869,139.787993,"2021-10-04",155.25,156.52,153.35,155.44,1744908,155.378704,155.306518,"2021-10-04"
"2021-10-04",138.46,141.44,136.92,138.51,3687623,138.656879,138.643497,"2021-10-01",155.8564,158.7618,154.33,155.14,1860717,155.664635,155.59151,"2021-10-01"
"2021-10-01",134.77,138.58,134.13,138.15,4563123,137.618167,137.588029,"2021-09-30",150.75,157.28,150.27,155.97,4710118,154.298374,154.347411,"2021-09-30"
"2021-09-30",135.03,135.03,131.745,132.11,2415944,132.760409,132.596291,"2021-09-29",152.13,152.13,147.64,148.09,2030902,148.931712,148.858464,"2021-09-29"
"2021-09-29",137.31,137.36,133.56,135.16,2152593,134.838621,134.952441,"2021-09-28",154.3,154.385,150.68,151.91,1535560,152.003403,152.055796,"2021-09-28"
"2021-09-28",138.23,140.21,136.07,136.55,2343142,137.565244,137.370435,"2021-09-27",153.13,155.3,152.23,153.59,2151853,153.835044,153.799788,"2021-09-27"
